  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 23012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.1350   0.00646   0.00094  -0.0110   0.2324   0.0835
   1.000   0.2451   0.00560   0.00086  -0.0109   0.2098   0.4227
   2.000   0.3582   0.00531   0.00093  -0.0111   0.1926   0.5984
   3.000   0.4716   0.00514   0.00108  -0.0114   0.1791   0.7484
   4.000   0.5862   0.00524   0.00128  -0.0119   0.1666   0.8173
   5.000   0.7000   0.00540   0.00153  -0.0122   0.1544   0.8797
   6.000   0.8122   0.00566   0.00184  -0.0123   0.1411   0.9303
   7.000   0.9218   0.00607   0.00224  -0.0120   0.1242   0.9661
   8.000   1.0302   0.00662   0.00270  -0.0115   0.1052   0.9881
   9.000   1.1463   0.00743   0.00337  -0.0133   0.0815   0.9969
  10.000   1.2635   0.00858   0.00432  -0.0156   0.0537   0.9998
  11.000   1.3571   0.00986   0.00544  -0.0130   0.0325   1.0000
  12.000   1.4535   0.01116   0.00665  -0.0112   0.0206   1.0000
  13.000   1.5484   0.01252   0.00796  -0.0095   0.0143   1.0000
  14.000   1.6395   0.01397   0.00941  -0.0074   0.0110   1.0000
  15.000   1.7237   0.01562   0.01107  -0.0045   0.0088   1.0000
  16.000   1.7921   0.01756   0.01307   0.0007   0.0072   1.0000
  17.000   1.8379   0.02028   0.01587   0.0081   0.0061   1.0000
  18.000   1.8752   0.02428   0.02001   0.0136   0.0055   1.0000
  19.000   1.8936   0.03107   0.02697   0.0164   0.0050   1.0000
  20.000   1.8773   0.04343   0.03960   0.0148   0.0045   1.0000
  21.000   1.7969   0.06638   0.06296   0.0065   0.0042   1.0000
  22.000   1.6111   0.10698   0.10418  -0.0112   0.0045   1.0000
  23.000   1.4616   0.14540   0.14308  -0.0314   0.0047   1.0000
  24.000   1.3859   0.17395   0.17193  -0.0493   0.0044   1.0000
  25.000   1.3490   0.19659   0.19478  -0.0654   0.0041   1.0000
