NACA 23012                                      
 Alfa =  20.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.10569
   0.99387  0.00225 -0.10793
   0.98311  0.00398 -0.11189
   0.97047  0.00598 -0.11661
   0.95624  0.00821 -0.12201
   0.94091  0.01056 -0.12794
   0.92495  0.01298 -0.13424
   0.90866  0.01541 -0.14084
   0.89220  0.01782 -0.14765
   0.87565  0.02021 -0.15467
   0.85907  0.02257 -0.16187
   0.84246  0.02489 -0.16926
   0.82583  0.02717 -0.17682
   0.80919  0.02942 -0.18457
   0.79255  0.03163 -0.19249
   0.77590  0.03381 -0.20058
   0.75924  0.03595 -0.20883
   0.74258  0.03806 -0.21723
   0.72592  0.04012 -0.22576
   0.70926  0.04215 -0.23440
   0.69260  0.04414 -0.24310
   0.67595  0.04609 -0.25179
   0.65930  0.04801 -0.26032
   0.64265  0.04987 -0.26833
   0.62600  0.05170 -0.27499
   0.60937  0.05348 -0.27772
   0.59274  0.05522 -0.27677
   0.57613  0.05691 -0.29697
   0.55952  0.05855 -0.32523
   0.54293  0.06013 -0.36090
   0.52635  0.06166 -0.40320
   0.50979  0.06314 -0.45120
   0.49325  0.06455 -0.50400
   0.47673  0.06590 -0.56075
   0.46023  0.06719 -0.62089
   0.44375  0.06841 -0.68377
   0.42730  0.06955 -0.74916
   0.41088  0.07062 -0.81685
   0.39449  0.07160 -0.88728
   0.37814  0.07250 -0.96034
   0.36183  0.07331 -1.03654
   0.34556  0.07403 -1.11647
   0.32933  0.07464 -1.20034
   0.31316  0.07515 -1.28895
   0.29705  0.07554 -1.38352
   0.28101  0.07581 -1.48448
   0.26505  0.07596 -1.59364
   0.24918  0.07597 -1.71225
   0.23343  0.07584 -1.84258
   0.21784  0.07556 -1.98762
   0.20249  0.07513 -2.15285
   0.18749  0.07453 -2.34582
   0.17294  0.07372 -2.56197
   0.15887  0.07267 -2.79556
   0.14529  0.07134 -3.04426
   0.13221  0.06971 -3.30458
   0.11963  0.06776 -3.57491
   0.10758  0.06549 -3.85321
   0.09608  0.06291 -4.13755
   0.08518  0.06003 -4.42653
   0.07493  0.05689 -4.71962
   0.06541  0.05355 -5.01724
   0.05667  0.05006 -5.31776
   0.04877  0.04651 -5.62730
   0.04171  0.04298 -5.94191
   0.03548  0.03952 -6.26981
   0.03003  0.03619 -6.60819
   0.02528  0.03300 -6.96659
   0.02116  0.02998 -7.33847
   0.01758  0.02710 -7.73827
   0.01447  0.02437 -8.15762
   0.01177  0.02178 -8.60012
   0.00943  0.01930 -9.05827
   0.00740  0.01692 -9.52957
   0.00566  0.01464-10.03101
   0.00417  0.01243-11.11331
   0.00292  0.01029-11.48512
   0.00191  0.00821-11.94687
   0.00111  0.00618-12.43443
   0.00053  0.00421-12.82507
   0.00016  0.00229-13.02562
   0.00001  0.00043-12.97493
   0.00006 -0.00138-12.68228
   0.00036 -0.00322-11.98787
   0.00092 -0.00507-10.75679
   0.00179 -0.00687 -9.08924
   0.00297 -0.00859 -7.20429
   0.00444 -0.01021 -5.41079
   0.00620 -0.01172 -3.86322
   0.00824 -0.01313 -2.62318
   0.01056 -0.01444 -1.66606
   0.01318 -0.01567 -0.94384
   0.01612 -0.01683 -0.40141
   0.01943 -0.01795  0.00123
   0.02320 -0.01903  0.30649
   0.02750 -0.02008  0.53062
   0.03246 -0.02113  0.69731
   0.03827 -0.02220  0.81721
   0.04514 -0.02330  0.90172
   0.05335 -0.02446  0.95657
   0.06318 -0.02570  0.98777
   0.07482 -0.02706  0.99957
   0.08822 -0.02855  0.99633
   0.10305 -0.03014  0.98231
   0.11880 -0.03181  0.96126
   0.13500 -0.03352  0.93584
   0.15130 -0.03520  0.90808
   0.16752 -0.03681  0.87855
   0.18357 -0.03831  0.84861
   0.19944 -0.03966  0.81856
   0.21521 -0.04084  0.78977
   0.23098 -0.04184  0.76217
   0.24681 -0.04270  0.73584
   0.26270 -0.04341  0.71031
   0.27867 -0.04398  0.68592
   0.29471 -0.04444  0.66255
   0.31082 -0.04477  0.64009
   0.32699 -0.04499  0.61836
   0.34322 -0.04511  0.59766
   0.35949 -0.04513  0.57805
   0.37582 -0.04505  0.55865
   0.39219 -0.04489  0.54031
   0.40859 -0.04464  0.52281
   0.42504 -0.04431  0.50554
   0.44151 -0.04390  0.48907
   0.45802 -0.04342  0.47330
   0.47455 -0.04287  0.45765
   0.49111 -0.04225  0.44286
   0.50769 -0.04158  0.42819
   0.52430 -0.04084  0.41410
   0.54092 -0.04004  0.40007
   0.55756 -0.03919  0.38670
   0.57421 -0.03829  0.37335
   0.59088 -0.03734  0.36029
   0.60756 -0.03634  0.34717
   0.62426 -0.03529  0.33478
   0.64096 -0.03420  0.32195
   0.65767 -0.03307  0.31022
   0.67438 -0.03189  0.29732
   0.69111 -0.03068  0.28489
   0.70783 -0.02942  0.27265
   0.72456 -0.02813  0.26066
   0.74129 -0.02679  0.24766
   0.75802 -0.02542  0.23541
   0.77475 -0.02401  0.22282
   0.79147 -0.02257  0.20993
   0.80820 -0.02108  0.19673
   0.82491 -0.01956  0.18286
   0.84162 -0.01801  0.16973
   0.85831 -0.01642  0.15524
   0.87498 -0.01479  0.14031
   0.89161 -0.01312  0.12454
   0.90815 -0.01143  0.10820
   0.92453 -0.00971  0.08956
   0.94058 -0.00799  0.07106
   0.95598 -0.00630  0.04888
   0.97030 -0.00470  0.02655
   0.98301 -0.00324 -0.00034
   0.99383 -0.00199 -0.02016
   1.00000 -0.00126 -0.10569
