  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     9.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2442   0.00516   0.00067  -0.0531   0.4269   0.2445
   1.000   0.3586   0.00514   0.00072  -0.0535   0.3791   0.3319
   2.000   0.4712   0.00520   0.00087  -0.0537   0.3131   0.4626
   3.000   0.5825   0.00542   0.00114  -0.0537   0.2386   0.5991
   4.000   0.6922   0.00582   0.00153  -0.0535   0.1627   0.7303
   5.000   0.8002   0.00629   0.00203  -0.0528   0.0991   0.8666
   6.000   0.9031   0.00681   0.00259  -0.0509   0.0610   0.9737
   7.000   1.0230   0.00756   0.00319  -0.0530   0.0389   1.0000
   8.000   1.1268   0.00832   0.00384  -0.0517   0.0273   1.0000
   9.000   1.2313   0.00913   0.00457  -0.0506   0.0203   1.0000
  10.000   1.3342   0.01001   0.00539  -0.0495   0.0163   1.0000
  11.000   1.4342   0.01099   0.00634  -0.0479   0.0133   1.0000
  12.000   1.5305   0.01210   0.00742  -0.0459   0.0112   1.0000
  13.000   1.6209   0.01340   0.00871  -0.0430   0.0093   1.0000
  14.000   1.7057   0.01474   0.01007  -0.0393   0.0086   1.0000
  15.000   1.7686   0.01651   0.01188  -0.0321   0.0074   1.0000
  16.000   1.8261   0.01870   0.01415  -0.0253   0.0070   1.0000
  17.000   1.8759   0.02171   0.01726  -0.0190   0.0066   1.0000
  18.000   1.9111   0.02627   0.02193  -0.0133   0.0060   1.0000
  19.000   1.9306   0.03298   0.02880  -0.0090   0.0053   1.0000
  20.000   1.9420   0.04154   0.03756  -0.0071   0.0053   1.0000
  21.000   1.9347   0.05330   0.04954  -0.0076   0.0052   1.0000
  22.000   1.9018   0.06926   0.06578  -0.0110   0.0051   1.0000
  23.000   1.8406   0.09007   0.08691  -0.0176   0.0049   1.0000
  24.000   1.7565   0.11536   0.11257  -0.0280   0.0048   1.0000
  25.000   1.6599   0.14439   0.14197  -0.0434   0.0048   1.0000
