NACA 2412                                       
 Alfa =  24.00000 Re =  9000000.000 Xflap,Yflap =     0.000000    0.000000
#    x        y        Cp  
   1.00000  0.00126 -0.28182
   0.99381  0.00254 -0.28349
   0.98304  0.00473 -0.28643
   0.97049  0.00724 -0.28990
   0.95646  0.01001 -0.29386
   0.94138  0.01291 -0.29820
   0.92569  0.01588 -0.30282
   0.90967  0.01884 -0.30767
   0.89346  0.02176 -0.31271
   0.87717  0.02463 -0.31793
   0.86082  0.02745 -0.32332
   0.84444  0.03020 -0.32889
   0.82804  0.03289 -0.33464
   0.81162  0.03552 -0.34059
   0.79519  0.03809 -0.34676
   0.77875  0.04059 -0.35314
   0.76230  0.04302 -0.35975
   0.74585  0.04539 -0.36661
   0.72938  0.04769 -0.37374
   0.71292  0.04993 -0.38114
   0.69645  0.05210 -0.38884
   0.67998  0.05420 -0.39685
   0.66350  0.05624 -0.40520
   0.64703  0.05820 -0.41390
   0.63056  0.06009 -0.42297
   0.61410  0.06191 -0.43243
   0.59764  0.06366 -0.44231
   0.58118  0.06533 -0.45262
   0.56474  0.06692 -0.46339
   0.54830  0.06843 -0.47463
   0.53188  0.06985 -0.48636
   0.51547  0.07120 -0.49861
   0.49907  0.07245 -0.51136
   0.48270  0.07362 -0.52465
   0.46635  0.07469 -0.53847
   0.45002  0.07567 -0.55283
   0.43373  0.07654 -0.56774
   0.41749  0.07732 -0.58319
   0.40134  0.07798 -0.59914
   0.38529  0.07852 -0.61548
   0.36934  0.07891 -0.63215
   0.35345  0.07914 -0.64886
   0.33762  0.07922 -0.66455
   0.32184  0.07915 -0.67324
   0.30612  0.07891 -0.68282
   0.29046  0.07850 -0.75903
   0.27487  0.07791 -0.87370
   0.25935  0.07715 -1.01319
   0.24392  0.07620 -1.16557
   0.22859  0.07506 -1.32337
   0.21338  0.07373 -1.48418
   0.19829  0.07219 -1.64835
   0.18335  0.07044 -1.81792
   0.16859  0.06848 -1.99536
   0.15405  0.06629 -2.18349
   0.13978  0.06389 -2.38623
   0.12584  0.06127 -2.60658
   0.11233  0.05844 -2.84943
   0.09937  0.05542 -3.11897
   0.08711  0.05226 -3.41898
   0.07571  0.04901 -3.75372
   0.06532  0.04573 -4.12460
   0.05602  0.04251 -4.53341
   0.04785  0.03938 -4.97632
   0.04073  0.03640 -5.45991
   0.03458  0.03357 -5.97690
   0.02925  0.03090 -6.53523
   0.02465  0.02837 -7.13461
   0.02064  0.02596 -7.77824
   0.01715  0.02365 -8.47138
   0.01410  0.02143 -9.21550
   0.01144  0.01929-10.00095
   0.00910  0.01719-10.82267
   0.00708  0.01514-11.69988
   0.00532  0.01312-12.86905
   0.00383  0.01112-14.20166
   0.00259  0.00913-14.70639
   0.00160  0.00716-15.37825
   0.00085  0.00521-15.88786
   0.00034  0.00329-16.04256
   0.00006  0.00140-15.77550
   0.00001 -0.00042-15.15924
   0.00017 -0.00227-14.19202
   0.00057 -0.00415-12.79901
   0.00123 -0.00604-11.09502
   0.00216 -0.00791 -9.24064
   0.00337 -0.00974 -7.43963
   0.00484 -0.01154 -5.78626
   0.00657 -0.01328 -4.39355
   0.00858 -0.01499 -3.22652
   0.01087 -0.01666 -2.28504
   0.01347 -0.01829 -1.52563
   0.01640 -0.01991 -0.92135
   0.01971 -0.02152 -0.44111
   0.02346 -0.02312 -0.06274
   0.02772 -0.02473  0.23552
   0.03259 -0.02635  0.46949
   0.03819 -0.02799  0.64709
   0.04464 -0.02964  0.78166
   0.05210 -0.03130  0.87753
   0.06070 -0.03295  0.94227
   0.07053 -0.03455  0.98051
   0.08159 -0.03607  0.99774
   0.09381 -0.03747  0.99879
   0.10702 -0.03870  0.98836
   0.12102 -0.03975  0.97040
   0.13563 -0.04061  0.94779
   0.15070 -0.04129  0.92280
   0.16612 -0.04180  0.89669
   0.18181 -0.04215  0.87048
   0.19771 -0.04236  0.84457
   0.21379 -0.04244  0.81937
   0.23002 -0.04240  0.79472
   0.24636 -0.04227  0.77141
   0.26282 -0.04204  0.74858
   0.27936 -0.04174  0.72685
   0.29599 -0.04137  0.70559
   0.31270 -0.04093  0.68548
   0.32946 -0.04045  0.66568
   0.34629 -0.03992  0.64661
   0.36315 -0.03936  0.62783
   0.38005 -0.03876  0.60930
   0.39694 -0.03814  0.59061
   0.41378 -0.03750  0.57179
   0.43058 -0.03681  0.55432
   0.44740 -0.03606  0.53741
   0.46423 -0.03528  0.52135
   0.48108 -0.03446  0.50503
   0.49795 -0.03360  0.48978
   0.51485 -0.03271  0.47446
   0.53177 -0.03179  0.45917
   0.54871 -0.03085  0.44458
   0.56567 -0.02988  0.42943
   0.58264 -0.02889  0.41501
   0.59963 -0.02788  0.40018
   0.61664 -0.02685  0.38559
   0.63366 -0.02581  0.37062
   0.65068 -0.02475  0.35632
   0.66772 -0.02369  0.34083
   0.68477 -0.02261  0.32584
   0.70182 -0.02152  0.31037
   0.71888 -0.02043  0.29471
   0.73594 -0.01932  0.27868
   0.75301 -0.01821  0.26183
   0.77008 -0.01709  0.24523
   0.78715 -0.01597  0.22730
   0.80422 -0.01484  0.20855
   0.82128 -0.01370  0.18994
   0.83834 -0.01256  0.16965
   0.85538 -0.01141  0.14783
   0.87240 -0.01026  0.12588
   0.88939 -0.00910  0.10012
   0.90628 -0.00793  0.07505
   0.92300 -0.00677  0.04528
   0.93937 -0.00562  0.01336
   0.95508 -0.00451 -0.02185
   0.96967 -0.00347 -0.06110
   0.98263 -0.00253 -0.10728
   0.99369 -0.00172 -0.14233
   1.00000 -0.00126 -0.28182
